CURRENCY,INDICES,BID,ASK,Mid Rate,BID_1,ASK_1,Mid Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZWG,ZWG,ZWG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,13.3394,14.0234,13.6814
,,,,,,,
ZAR,,18.1438,18.1531,1 8.14845,1.2938,1.3608,1.3273
GBP,*,1.2634,1.2635,1 .26345,16.8529,17.7185,17.2857
JPY,,160.3900,160.4100,1 60.40000,11.4373,12.0252,11.7313
ZMW/ZMK,,25.7500,25.8000,2 5.77500,1.8362,1.9341,1.8852
BWP,,0.0735,0.0737,0 .07360,0.9804,1.0335,1.0070
CHF,,0.8968,0.8969,0 .89685,11.9627,12.5775,12.2701
MWK,,1716.7300,1750.0300,"1 ,733.38000",122.4189,131.1925,126.8057
AUD,*,0.6664,0.6666,0 .66650,8.8893,9.3479,9.1186
SDR,*,1.314370,1.314370,1 .31437,17.9824,17.9824,17.9824
MZN/MET,,63.3100,63.9300,6 3.62000,4.5145,4.7925,4.6535
NOK,,10.6636,10.6683,1 0.66595,0.7604,0.7997,0.7801
SEK,,10.5645,10.5687,1 0.56660,0.7533,0.7922,0.7728
CAD,*,1.3693,1.3698,1 .36955,0.0976,0.1026,0.1001
EUR,*,1.0694,1.0695,1 .06945,14.2651,14.9980,14.6316
CNY,,7.2686,7.2687,7 .26865,0.5183,0.5449,0.5316
INR,,83.4850,83.4950,8 3.49000,5.9532,6.2592,6.1062
NZD,*,0.6089,0.6090,0 .60895,8.1223,8.5402,8.3313
DKK,,6.9741,6.9748,6 .97445,0.4973,0.5228,0.5101
XAU,,2300.0600,2300.5700,"2,300.31500",30681.4203,32261.8133,31471.6168
AFN,,70.9100,71.1100,7 1.01000,5.0565,5.3308,5.1937
THB,,36.9100,36.9300,3 6.92000,2.6320,2.7684,2.7002
ETB,,57.3013,58.1366,5 7.71895,4.0861,4.3582,4.2222
SZL,,18.1457,18.1522,1 8.14895,1.2939,1.3607,1.3273
MUR,,47.2400,47.5400,4 7.39000,3.3686,3.5638,3.4662
MYR,,4.7170,4.7210,4 .71900,0.3363,0.3539,0.3451
LSL,,18.1457,18.1522,1 8.14895,1.2939,1.3607,1.3273
CYP,*,0.3975,0.3980,0 .39775,0.0283,0.0298,0.0291
EGP,,47.9800,48.0800,4 8.03000,3.4214,3.6043,3.5129
BRL,,5.5240,5.5245,5 .52425,0.3939,0.4141,0.4040
TZS,,2605.0000,2615.0000,"2,610.00000",185.7609,196.0358,190.8984
RUB,,86.5000,86.5200,8 6.51000,6.1682,6.4860,6.3271
KES,,128.5000,129.5000,1 29.00000,9.1632,9.7080,9.4356
DEM,,2.2150,2.2175,2 .21625,0.1579,0.1662,0.1621
ESP,,188.4300,188.6500,1 88.54000,13.4368,14.1423,13.7896
ITL,,2192.8300,2195.3200,"2,194.07500",156.3693,164.5741,160.4717
FRF,,7.4287,7.4372,7 .43295,0.5297,0.5575,0.5436
HKD,,7.7495,7.8078,7 .77865,0.5526,0.5853,0.5690
ARS,,910.5000,911.5000,9 11.00000,64.9271,68.3314,66.6293
XAF,,613.7100,616.2900,6 15.00000,43.7632,46.2007,44.9820
